Date,District,Disease,Cases
2020-04,Pune,Hepatitis A,20
2020-04,Jaipur,Dengue,8
2020-04,Jaipur,Malaria,19
2020-04,Jaipur,Cholera,29
2020-04,Jaipur,Typhoid,27
2020-04,Jaipur,Tuberculosis,5
2020-04,Jaipur,Hepatitis A,16
2020-04,Lucknow,Dengue,21
2020-04,Lucknow,Malaria,21
2020-04,Lucknow,Cholera,21
2020-04,Lucknow,Typhoid,19
2020-04,Lucknow,Tuberculosis,10
2020-04,Lucknow,Hepatitis A,36
2020-05,Mumbai,Dengue,29
2020-05,Mumbai,Malaria,6
2020-05,Mumbai,Cholera,12
2020-05,Mumbai,Typhoid,32
2020-05,Mumbai,Tuberculosis,14
2020-05,Mumbai,Hepatitis A,20
2020-05,Delhi,Dengue,19
2020-05,Delhi,Malaria,10
2020-05,Delhi,Cholera,21
2020-05,Delhi,Typhoid,12
2020-05,Delhi,Tuberculosis,14
2020-05,Delhi,Hepatitis A,8
2020-05,Bengaluru,Dengue,20
2020-05,Bengaluru,Malaria,11
2020-05,Bengaluru,Cholera,16
2020-05,Bengaluru,Typhoid,8
2020-05,Bengaluru,Tuberculosis,8
2020-05,Bengaluru,Hepatitis A,19
2020-05,Hyderabad,Dengue,6
2020-05,Hyderabad,Malaria,8
2020-05,Hyderabad,Cholera,19
2020-05,Hyderabad,Typhoid,27
2020-05,Hyderabad,Tuberculosis,21
2020-05,Hyderabad,Hepatitis A,10
2020-05,Ahmedabad,Dengue,35
2020-05,Ahmedabad,Malaria,11
2020-05,Ahmedabad,Cholera,8
2020-05,Ahmedabad,Typhoid,13
2020-05,Ahmedabad,Tuberculosis,14
2020-05,Ahmedabad,Hepatitis A,17
2020-05,Chennai,Dengue,10
2020-05,Chennai,Malaria,46
2020-05,Chennai,Cholera,22
2020-05,Chennai,Typhoid,24
2020-05,Chennai,Tuberculosis,18
2020-05,Chennai,Hepatitis A,26
2020-05,Kolkata,Dengue,28
2020-05,Kolkata,Malaria,12
2020-05,Kolkata,Cholera,40
2020-05,Kolkata,Typhoid,22
2020-05,Kolkata,Tuberculosis,13
2020-05,Kolkata,Hepatitis A,14
2020-05,Pune,Dengue,16
2020-05,Pune,Malaria,22
2020-05,Pune,Cholera,17
2020-05,Pune,Typhoid,11
2020-05,Pune,Tuberculosis,16
2020-05,Pune,Hepatitis A,19
2020-05,Jaipur,Dengue,18
2020-05,Jaipur,Malaria,19
2020-05,Jaipur,Cholera,14
2020-05,Jaipur,Typhoid,10
2020-05,Jaipur,Tuberculosis,19
2020-05,Jaipur,Hepatitis A,10
2020-05,Lucknow,Dengue,28
2020-05,Lucknow,Malaria,9
2020-05,Lucknow,Cholera,9
2020-05,Lucknow,Typhoid,20
2020-05,Lucknow,Tuberculosis,15
2020-05,Lucknow,Hepatitis A,27
2020-06,Mumbai,Dengue,5
2020-06,Mumbai,Malaria,5
2020-06,Mumbai,Cholera,23
2020-06,Mumbai,Typhoid,38
2020-06,Mumbai,Tuberculosis,21
2020-06,Mumbai,Hepatitis A,10
2020-06,Delhi,Dengue,11
2020-06,Delhi,Malaria,5
2020-06,Delhi,Cholera,14
2020-06,Delhi,Typhoid,15
2020-06,Delhi,Tuberculosis,23
2020-06,Delhi,Hepatitis A,5
2020-06,Bengaluru,Dengue,5
2020-06,Bengaluru,Malaria,33
2020-06,Bengaluru,Cholera,8
2020-06,Bengaluru,Typhoid,31
2020-06,Bengaluru,Tuberculosis,13
2020-06,Bengaluru,Hepatitis A,13
2020-06,Hyderabad,Dengue,10
2020-06,Hyderabad,Malaria,10
2020-06,Hyderabad,Cholera,17
2020-06,Hyderabad,Typhoid,3
2020-06,Hyderabad,Tuberculosis,15
2020-06,Hyderabad,Hepatitis A,17
2020-06,Ahmedabad,Dengue,12
2020-06,Ahmedabad,Malaria,22
2020-06,Ahmedabad,Cholera,6
2020-06,Ahmedabad,Typhoid,10
2020-06,Ahmedabad,Tuberculosis,8
2020-06,Ahmedabad,Hepatitis A,26
2020-06,Chennai,Dengue,16
2020-06,Chennai,Malaria,7
2020-06,Chennai,Cholera,30
2020-06,Chennai,Typhoid,11
2020-06,Chennai,Tuberculosis,33
2020-06,Chennai,Hepatitis A,19
2020-06,Kolkata,Dengue,22
2020-06,Kolkata,Malaria,23
2020-06,Kolkata,Cholera,7
2020-06,Kolkata,Typhoid,22
2020-06,Kolkata,Tuberculosis,13
2020-06,Kolkata,Hepatitis A,41
2020-06,Pune,Dengue,6
2020-06,Pune,Malaria,16
2020-06,Pune,Cholera,31
2020-06,Pune,Typhoid,13
2020-06,Pune,Tuberculosis,7
2020-06,Pune,Hepatitis A,6
2020-06,Jaipur,Dengue,6
2020-06,Jaipur,Malaria,13
2020-06,Jaipur,Cholera,6
2020-06,Jaipur,Typhoid,14
2020-06,Jaipur,Tuberculosis,12
2020-06,Jaipur,Hepatitis A,23
2020-06,Lucknow,Dengue,15
2020-06,Lucknow,Malaria,3
2020-06,Lucknow,Cholera,29
2020-06,Lucknow,Typhoid,17
2020-06,Lucknow,Tuberculosis,27
2020-06,Lucknow,Hepatitis A,11
2020-07,Mumbai,Dengue,7
2020-07,Mumbai,Malaria,10
2020-07,Mumbai,Cholera,21
2020-07,Mumbai,Typhoid,9
2020-07,Mumbai,Tuberculosis,14
2020-07,Mumbai,Hepatitis A,27
2020-07,Delhi,Dengue,33
2020-07,Delhi,Malaria,24
2020-07,Delhi,Cholera,23
2020-07,Delhi,Typhoid,15
2020-07,Delhi,Tuberculosis,21
2020-07,Delhi,Hepatitis A,5
2020-07,Bengaluru,Dengue,6
2020-07,Bengaluru,Malaria,3
2020-07,Bengaluru,Cholera,6
2020-07,Bengaluru,Typhoid,7
2020-07,Bengaluru,Tuberculosis,16
2020-07,Bengaluru,Hepatitis A,24
2020-07,Hyderabad,Dengue,35
2020-07,Hyderabad,Malaria,5
2020-07,Hyderabad,Cholera,13
2020-07,Hyderabad,Typhoid,5
2020-07,Hyderabad,Tuberculosis,30
2020-07,Hyderabad,Hepatitis A,18
2020-07,Ahmedabad,Dengue,15
2020-07,Ahmedabad,Malaria,8
2020-07,Ahmedabad,Cholera,28
2020-07,Ahmedabad,Typhoid,14
2020-07,Ahmedabad,Tuberculosis,12
2020-07,Ahmedabad,Hepatitis A,6
2020-07,Chennai,Dengue,29
2020-07,Chennai,Malaria,43
2020-07,Chennai,Cholera,30
2020-07,Chennai,Typhoid,18
2020-07,Chennai,Tuberculosis,38
2020-07,Chennai,Hepatitis A,35
2020-07,Kolkata,Dengue,32
2020-07,Kolkata,Malaria,17
2020-07,Kolkata,Cholera,22
2020-07,Kolkata,Typhoid,25
2020-07,Kolkata,Tuberculosis,5
2020-07,Kolkata,Hepatitis A,19
2020-07,Pune,Dengue,17
2020-07,Pune,Malaria,9
2020-07,Pune,Cholera,19
2020-07,Pune,Typhoid,13
2020-07,Pune,Tuberculosis,6
2020-07,Pune,Hepatitis A,29
2020-07,Jaipur,Dengue,25
2020-07,Jaipur,Malaria,9
2020-07,Jaipur,Cholera,30
2020-07,Jaipur,Typhoid,9
2020-07,Jaipur,Tuberculosis,17
2020-07,Jaipur,Hepatitis A,18
2020-07,Lucknow,Dengue,18
2020-07,Lucknow,Malaria,12
2020-07,Lucknow,Cholera,6
2020-07,Lucknow,Typhoid,7
2020-07,Lucknow,Tuberculosis,13
2020-07,Lucknow,Hepatitis A,28
2020-08,Mumbai,Dengue,6
2020-08,Mumbai,Malaria,16
2020-08,Mumbai,Cholera,3
2020-08,Mumbai,Typhoid,21
2020-08,Mumbai,Tuberculosis,23
2020-08,Mumbai,Hepatitis A,13
2020-08,Delhi,Dengue,6
2020-08,Delhi,Malaria,26
2020-08,Delhi,Cholera,11
2020-08,Delhi,Typhoid,24
2020-08,Delhi,Tuberculosis,16
2020-08,Delhi,Hepatitis A,14
2020-08,Bengaluru,Dengue,28
2020-08,Bengaluru,Malaria,24
2020-08,Bengaluru,Cholera,26
2020-08,Bengaluru,Typhoid,2
2020-08,Bengaluru,Tuberculosis,21
2020-08,Bengaluru,Hepatitis A,13
2020-08,Hyderabad,Dengue,12
2020-08,Hyderabad,Malaria,13
2020-08,Hyderabad,Cholera,13
2020-08,Hyderabad,Typhoid,15
2020-08,Hyderabad,Tuberculosis,29
2020-08,Hyderabad,Hepatitis A,5
2020-08,Ahmedabad,Dengue,6
2020-08,Ahmedabad,Malaria,5
2020-08,Ahmedabad,Cholera,8
2020-08,Ahmedabad,Typhoid,7
2020-08,Ahmedabad,Tuberculosis,26
2020-08,Ahmedabad,Hepatitis A,10
2020-08,Chennai,Dengue,23
2020-08,Chennai,Malaria,10
2020-08,Chennai,Cholera,9
2020-08,Chennai,Typhoid,4
2020-08,Chennai,Tuberculosis,20
2020-08,Chennai,Hepatitis A,9
2020-08,Kolkata,Dengue,32
2020-08,Kolkata,Malaria,11
2020-08,Kolkata,Cholera,6
2020-08,Kolkata,Typhoid,12
2020-08,Kolkata,Tuberculosis,24
2020-08,Kolkata,Hepatitis A,24
2020-08,Pune,Dengue,5
2020-08,Pune,Malaria,29
2020-08,Pune,Cholera,36
2020-08,Pune,Typhoid,25
2020-08,Pune,Tuberculosis,11
2020-08,Pune,Hepatitis A,20
2020-08,Jaipur,Dengue,24
2020-08,Jaipur,Malaria,11
2020-08,Jaipur,Cholera,30
2020-08,Jaipur,Typhoid,15
2020-08,Jaipur,Tuberculosis,20
2020-08,Jaipur,Hepatitis A,7
2020-08,Lucknow,Dengue,37
2020-08,Lucknow,Malaria,22
2020-08,Lucknow,Cholera,24
2020-08,Lucknow,Typhoid,35
2020-08,Lucknow,Tuberculosis,14
2020-08,Lucknow,Hepatitis A,22
2020-09,Mumbai,Dengue,22
2020-09,Mumbai,Malaria,25
2020-09,Mumbai,Cholera,24
2020-09,Mumbai,Typhoid,9
2020-09,Mumbai,Tuberculosis,29
2020-09,Mumbai,Hepatitis A,17
2020-09,Delhi,Dengue,19
2020-09,Delhi,Malaria,31
2020-09,Delhi,Cholera,29
2020-09,Delhi,Typhoid,25
2020-09,Delhi,Tuberculosis,16
2020-09,Delhi,Hepatitis A,24
2020-09,Bengaluru,Dengue,17
2020-09,Bengaluru,Malaria,24
2020-09,Bengaluru,Cholera,10
2020-09,Bengaluru,Typhoid,37
2020-09,Bengaluru,Tuberculosis,17
2020-09,Bengaluru,Hepatitis A,6
2020-09,Hyderabad,Dengue,18
2020-09,Hyderabad,Malaria,12
2020-09,Hyderabad,Cholera,6
2020-09,Hyderabad,Typhoid,19
2020-09,Hyderabad,Tuberculosis,10
2020-09,Hyderabad,Hepatitis A,7
2020-09,Ahmedabad,Dengue,10
2020-09,Ahmedabad,Malaria,9
2020-09,Ahmedabad,Cholera,12
2020-09,Ahmedabad,Typhoid,21
2020-09,Ahmedabad,Tuberculosis,21
2020-09,Ahmedabad,Hepatitis A,32
2020-09,Chennai,Dengue,22
2020-09,Chennai,Malaria,14
2020-09,Chennai,Cholera,35
2020-09,Chennai,Typhoid,14
2020-09,Chennai,Tuberculosis,6
2020-09,Chennai,Hepatitis A,21
2020-09,Kolkata,Dengue,31
2020-09,Kolkata,Malaria,15
2020-09,Kolkata,Cholera,20
2020-09,Kolkata,Typhoid,23
2020-09,Kolkata,Tuberculosis,15
2020-09,Kolkata,Hepatitis A,24
2020-09,Pune,Dengue,15
2020-09,Pune,Malaria,25
2020-09,Pune,Cholera,35
2020-09,Pune,Typhoid,11
2020-09,Pune,Tuberculosis,31
2020-09,Pune,Hepatitis A,11
2020-09,Jaipur,Dengue,17
2020-09,Jaipur,Malaria,13
2020-09,Jaipur,Cholera,18
2020-09,Jaipur,Typhoid,16
2020-09,Jaipur,Tuberculosis,16
2020-09,Jaipur,Hepatitis A,10
2020-09,Lucknow,Dengue,22
2020-09,Lucknow,Malaria,27
2020-09,Lucknow,Cholera,7
2020-09,Lucknow,Typhoid,10
2020-09,Lucknow,Tuberculosis,8
2020-09,Lucknow,Hepatitis A,17
2020-10,Mumbai,Dengue,12
2020-10,Mumbai,Malaria,14
2020-10,Mumbai,Cholera,10
2020-10,Mumbai,Typhoid,9
2020-10,Mumbai,Tuberculosis,6
2020-10,Mumbai,Hepatitis A,10
2020-10,Delhi,Dengue,10
2020-10,Delhi,Malaria,30
2020-10,Delhi,Cholera,11
2020-10,Delhi,Typhoid,6
2020-10,Delhi,Tuberculosis,20
2020-10,Delhi,Hepatitis A,10
2020-10,Bengaluru,Dengue,31
2020-10,Bengaluru,Malaria,22
2020-10,Bengaluru,Cholera,10
2020-10,Bengaluru,Typhoid,17
2020-10,Bengaluru,Tuberculosis,25
2020-10,Bengaluru,Hepatitis A,16
2020-10,Hyderabad,Dengue,14
2020-10,Hyderabad,Malaria,22
2020-10,Hyderabad,Cholera,11
2020-10,Hyderabad,Typhoid,20
2020-10,Hyderabad,Tuberculosis,5
2020-10,Hyderabad,Hepatitis A,7
2020-10,Ahmedabad,Dengue,8
2020-10,Ahmedabad,Malaria,12
2020-10,Ahmedabad,Cholera,19
2020-10,Ahmedabad,Typhoid,10
2020-10,Ahmedabad,Tuberculosis,2
2020-10,Ahmedabad,Hepatitis A,9
2020-10,Chennai,Dengue,15
2020-10,Chennai,Malaria,25
2020-10,Chennai,Cholera,2
2020-10,Chennai,Typhoid,32
2020-10,Chennai,Tuberculosis,14
2020-10,Chennai,Hepatitis A,26
2020-10,Kolkata,Dengue,13
2020-10,Kolkata,Malaria,21
2020-10,Kolkata,Cholera,6
2020-10,Kolkata,Typhoid,24
2020-10,Kolkata,Tuberculosis,27
2020-10,Kolkata,Hepatitis A,13
2020-10,Pune,Dengue,12
2020-10,Pune,Malaria,33
2020-10,Pune,Cholera,20
2020-10,Pune,Typhoid,17
2020-10,Pune,Tuberculosis,21
2020-10,Pune,Hepatitis A,16
2020-10,Jaipur,Dengue,21
2020-10,Jaipur,Malaria,26
2020-10,Jaipur,Cholera,21
2020-10,Jaipur,Typhoid,10
2020-10,Jaipur,Tuberculosis,30
2020-10,Jaipur,Hepatitis A,30
2020-10,Lucknow,Dengue,19
2020-10,Lucknow,Malaria,17
2020-10,Lucknow,Cholera,22
2020-10,Lucknow,Typhoid,12
2020-10,Lucknow,Tuberculosis,22
2020-10,Lucknow,Hepatitis A,7
2020-11,Mumbai,Dengue,9
2020-11,Mumbai,Malaria,26
2020-11,Mumbai,Cholera,10
2020-11,Mumbai,Typhoid,21
2020-11,Mumbai,Tuberculosis,13
2020-11,Mumbai,Hepatitis A,29
2020-11,Delhi,Dengue,9
2020-11,Delhi,Malaria,4
2020-11,Delhi,Cholera,6
2020-11,Delhi,Typhoid,18
2020-11,Delhi,Tuberculosis,31
2020-11,Delhi,Hepatitis A,12
2020-11,Bengaluru,Dengue,10
2020-11,Bengaluru,Malaria,18
2020-11,Bengaluru,Cholera,18
2020-11,Bengaluru,Typhoid,23
2020-11,Bengaluru,Tuberculosis,27
2020-11,Bengaluru,Hepatitis A,10
2020-11,Hyderabad,Dengue,21
2020-11,Hyderabad,Malaria,22
2020-11,Hyderabad,Cholera,15
2020-11,Hyderabad,Typhoid,20
2020-11,Hyderabad,Tuberculosis,13
2020-11,Hyderabad,Hepatitis A,4
2020-11,Ahmedabad,Dengue,12
2020-11,Ahmedabad,Malaria,14
2020-11,Ahmedabad,Cholera,4
2020-11,Ahmedabad,Typhoid,32
2020-11,Ahmedabad,Tuberculosis,8
2020-11,Ahmedabad,Hepatitis A,6
2020-11,Chennai,Dengue,13
2020-11,Chennai,Malaria,8
2020-11,Chennai,Cholera,9
2020-11,Chennai,Typhoid,22
2020-11,Chennai,Tuberculosis,8
2020-11,Chennai,Hepatitis A,27
2020-11,Kolkata,Dengue,31
2020-11,Kolkata,Malaria,32
2020-11,Kolkata,Cholera,22
2020-11,Kolkata,Typhoid,33
2020-11,Kolkata,Tuberculosis,19
2020-11,Kolkata,Hepatitis A,36
2020-11,Pune,Dengue,33
2020-11,Pune,Malaria,4
2020-11,Pune,Cholera,40
2020-11,Pune,Typhoid,18
2020-11,Pune,Tuberculosis,22
2020-11,Pune,Hepatitis A,11
2020-11,Jaipur,Dengue,24
2020-11,Jaipur,Malaria,27
2020-11,Jaipur,Cholera,19
2020-11,Jaipur,Typhoid,10
2020-11,Jaipur,Tuberculosis,23
2020-11,Jaipur,Hepatitis A,7
2020-11,Lucknow,Dengue,11
2020-11,Lucknow,Malaria,10
2020-11,Lucknow,Cholera,13
2020-11,Lucknow,Typhoid,27
2020-11,Lucknow,Tuberculosis,23
2020-11,Lucknow,Hepatitis A,10
2020-12,Mumbai,Dengue,18
2020-12,Mumbai,Malaria,10
2020-12,Mumbai,Cholera,11
2020-12,Mumbai,Typhoid,33
2020-12,Mumbai,Tuberculosis,14
2020-12,Mumbai,Hepatitis A,25
2020-12,Delhi,Dengue,7
2020-12,Delhi,Malaria,4
2020-12,Delhi,Cholera,10
2020-12,Delhi,Typhoid,15
2020-12,Delhi,Tuberculosis,4
2020-12,Delhi,Hepatitis A,12
2020-12,Bengaluru,Dengue,21
2020-12,Bengaluru,Malaria,9
2020-12,Bengaluru,Cholera,17
2020-12,Bengaluru,Typhoid,28
2020-12,Bengaluru,Tuberculosis,22
2020-12,Bengaluru,Hepatitis A,27
2020-12,Hyderabad,Dengue,13
2020-12,Hyderabad,Malaria,11
2020-12,Hyderabad,Cholera,8
2020-12,Hyderabad,Typhoid,31
2020-12,Hyderabad,Tuberculosis,24
2020-12,Hyderabad,Hepatitis A,20
2020-12,Ahmedabad,Dengue,13
2020-12,Ahmedabad,Malaria,22
2020-12,Ahmedabad,Cholera,12
2020-12,Ahmedabad,Typhoid,26
2020-12,Ahmedabad,Tuberculosis,11
2020-12,Ahmedabad,Hepatitis A,15
2020-12,Chennai,Dengue,12
2020-12,Chennai,Malaria,10
2020-12,Chennai,Cholera,24
2020-12,Chennai,Typhoid,17
2020-12,Chennai,Tuberculosis,11
2020-12,Chennai,Hepatitis A,8
2020-12,Kolkata,Dengue,5
2020-12,Kolkata,Malaria,3
2020-12,Kolkata,Cholera,27
2020-12,Kolkata,Typhoid,16
2020-12,Kolkata,Tuberculosis,21
2020-12,Kolkata,Hepatitis A,4
2020-12,Pune,Dengue,12
2020-12,Pune,Malaria,2
2020-12,Pune,Cholera,12
2020-12,Pune,Typhoid,7
2020-12,Pune,Tuberculosis,19
2020-12,Pune,Hepatitis A,20
2020-12,Jaipur,Dengue,13
2020-12,Jaipur,Malaria,23
2020-12,Jaipur,Cholera,20
2020-12,Jaipur,Typhoid,11
2020-12,Jaipur,Tuberculosis,11
2020-12,Jaipur,Hepatitis A,24
2020-12,Lucknow,Dengue,5
2020-12,Lucknow,Malaria,27
2020-12,Lucknow,Cholera,23
2020-12,Lucknow,Typhoid,19
2020-12,Lucknow,Tuberculosis,14
2020-12,Lucknow,Hepatitis A,20
2021-01,Mumbai,Dengue,11
2021-01,Mumbai,Malaria,24
2021-01,Mumbai,Cholera,18
2021-01,Mumbai,Typhoid,22
2021-01,Mumbai,Tuberculosis,25
2021-01,Mumbai,Hepatitis A,21
2021-01,Delhi,Dengue,33
2021-01,Delhi,Malaria,16
2021-01,Delhi,Cholera,22
